document_nid,filename,fid,uri,download_url,local_path
18437086,★시장_2019년_4월_업무추진비_집행내역_v2.4.xlsx,97838,/sites/default/files/expense_new/201908/97838.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=18437086&dtype=basic&rid=&fid=97838&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201908%2F97838.xlsx&dname=%E2%98%85%EC%8B%9C%EC%9E%A5_2019%EB%85%84_4%EC%9B%94_%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84_%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD_v2.4.xlsx,data/raw_attachments/201904_18437086_97838_★시장_2019년_4월_업무추진비_집행내역_v2.4.xlsx
17759059,★☆시장_2019년_3월_업무추진비_집행내역_v2.3.xlsx,95347,/sites/default/files/expense_new/201905/95347.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=17759059&dtype=basic&rid=&fid=95347&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201905%2F95347.xlsx&dname=%E2%98%85%E2%98%86%EC%8B%9C%EC%9E%A5_2019%EB%85%84_3%EC%9B%94_%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84_%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD_v2.3.xlsx,data/raw_attachments/201903_17759059_95347_★☆시장_2019년_3월_업무추진비_집행내역_v2.3.xlsx
17400396,★☆시장_2019년_2월_업무추진비_집행내역_v2.2.xlsx,99441,/sites/default/files/expense_new/201903/99441.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=17400396&dtype=basic&rid=&fid=99441&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201903%2F99441.xlsx&dname=%E2%98%85%E2%98%86%EC%8B%9C%EC%9E%A5_2019%EB%85%84_2%EC%9B%94_%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84_%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD_v2.2.xlsx,data/raw_attachments/201902_17400396_99441_★☆시장_2019년_2월_업무추진비_집행내역_v2.2.xlsx
17770232,★☆★(최종)시장_2019년_1월_업무추진비_집행내역_v2.3.xlsx,95451,/sites/default/files/expense_new/201905/95451.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=17770232&dtype=basic&rid=&fid=95451&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201905%2F95451.xlsx&dname=%E2%98%85%E2%98%86%E2%98%85%28%EC%B5%9C%EC%A2%85%29%EC%8B%9C%EC%9E%A5_2019%EB%85%84_1%EC%9B%94_%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84_%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD_v2.3.xlsx,data/raw_attachments/201901_17770232_95451_★☆★(최종)시장_2019년_1월_업무추진비_집행내역_v2.3.xlsx
17877664,(최종본)★☆시장_2018년_12월_업무추진비_집행내역_v2.2.xlsx,95605,/sites/default/files/expense_new/201905/95605.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=17877664&dtype=basic&rid=&fid=95605&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201905%2F95605.xlsx&dname=%28%EC%B5%9C%EC%A2%85%EB%B3%B8%29%E2%98%85%E2%98%86%EC%8B%9C%EC%9E%A5_2018%EB%85%84_12%EC%9B%94_%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84_%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD_v2.2.xlsx,data/raw_attachments/201812_17877664_95605_(최종본)★☆시장_2018년_12월_업무추진비_집행내역_v2.2.xlsx
16703214,★시장_2018년_11월_업무추진비_집행내역_v2.2.xlsx,91493,/sites/default/files/expense_new/201812/91493.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=16703214&dtype=basic&rid=&fid=91493&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201812%2F91493.xlsx&dname=%E2%98%85%EC%8B%9C%EC%9E%A5_2018%EB%85%84_11%EC%9B%94_%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84_%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD_v2.2.xlsx,data/raw_attachments/201811_16703214_91493_★시장_2018년_11월_업무추진비_집행내역_v2.2.xlsx
16691764,★시장_2018년_10월_업무추진비_집행내역_v2.2.xlsx,91443,/sites/default/files/expense_new/201812/91443.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=16691764&dtype=basic&rid=&fid=91443&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201812%2F91443.xlsx&dname=%E2%98%85%EC%8B%9C%EC%9E%A5_2018%EB%85%84_10%EC%9B%94_%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84_%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD_v2.2.xlsx,data/raw_attachments/201810_16691764_91443_★시장_2018년_10월_업무추진비_집행내역_v2.2.xlsx
16691765,★시장_2018년_9월_업무추진비_집행내역_v2.2.xlsx,91444,/sites/default/files/expense_new/201812/91444.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=16691765&dtype=basic&rid=&fid=91444&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201812%2F91444.xlsx&dname=%E2%98%85%EC%8B%9C%EC%9E%A5_2018%EB%85%84_9%EC%9B%94_%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84_%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD_v2.2.xlsx,data/raw_attachments/201809_16691765_91444_★시장_2018년_9월_업무추진비_집행내역_v2.2.xlsx
16083831,★시장_2018년_8월_업무추진비_집행내역_v2.2.xlsx,89767,/sites/default/files/expense_new/201809/89767.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=16083831&dtype=basic&rid=&fid=89767&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201809%2F89767.xlsx&dname=%E2%98%85%EC%8B%9C%EC%9E%A5_2018%EB%85%84_8%EC%9B%94_%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84_%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD_v2.2.xlsx,data/raw_attachments/201808_16083831_89767_★시장_2018년_8월_업무추진비_집행내역_v2.2.xlsx
15882276,★★시장_2018년_7월_업무추진비_집행내역_v2.2(1).xlsx,98586,/sites/default/files/expense_new/201808/98586.xlsx,https://opengov.seoul.go.kr/og/com/download.php?nid=15882276&dtype=basic&rid=&fid=98586&uri=%2Fsites%2Fdefault%2Ffiles%2Fexpense_new%2F201808%2F98586.xlsx&dname=%E2%98%85%E2%98%85%EC%8B%9C%EC%9E%A5_2018%EB%85%84_7%EC%9B%94_%EC%97%85%EB%AC%B4%EC%B6%94%EC%A7%84%EB%B9%84_%EC%A7%91%ED%96%89%EB%82%B4%EC%97%AD_v2.2%281%29.xlsx,data/raw_attachments/201807_15882276_98586_★★시장_2018년_7월_업무추진비_집행내역_v2.2(1).xlsx
